,cid,fold,label,audio_len,sr,duration,rms,zcr,spec_cent,spec_bw,rolloff,flatness,contrast,category
0,1-104089-A-22,1,22,220500,44100,5.0,0.086181484,0.14914783026392112,4687.830619924997,4047.7875369851845,9476.308049956497,0.008678414,17.1135292847465,clapping
1,3-246513-B-16,3,16,220500,44100,5.0,0.17945307,0.019542579031322505,857.1658976295301,1571.9867073071587,1098.4931255437934,2.9422248e-05,16.13312251530394,wind
2,1-96950-B-9,1,9,220500,44100,5.0,0.10864479,0.0771484375,2417.5055568953712,2388.7708763944675,3436.1196708236657,0.002782617,18.50128243786863,crow
3,2-105270-A-47,2,47,220500,44100,5.0,0.01772585,0.007127093604988399,883.5782732611548,1965.0280403211975,1241.2817439457656,5.867716e-05,15.214740870556689,airplane
4,4-90014-B-42,4,42,220500,44100,5.0,0.06098705,0.051397549303944315,1657.4716912550682,2016.7290247263622,2910.129966647332,9.1532376e-05,19.93332769559152,siren
5,1-47273-A-21,1,21,220500,44100,5.0,0.011574305,0.06009371374709977,2459.104501821547,2380.468112226361,4952.286991553075,0.466356,13.244750208983092,sneezing
6,1-39901-A-11,1,11,220500,44100,5.0,0.091596,0.05100443191705337,2532.4521194665435,3234.5789953543203,5217.679972991589,0.0016312241,17.231153730912553,sea_waves
7,1-19840-A-36,1,36,220500,44100,5.0,0.02648387,0.12552906576276102,3982.489041818338,3645.2332237556266,7917.823738399072,0.0070023057,17.122923739772556,vacuum_cleaner
8,1-28135-B-11,1,11,220500,44100,5.0,0.09714394,0.06487909657772621,2643.538946751504,3092.333817595344,5631.507169011021,0.0004553647,16.214645722233904,sea_waves
9,2-134915-A-30,2,30,220500,44100,5.0,0.0737847,0.0010456695910672853,127.02708658351109,526.6468097046303,156.12821291328305,0.5475764,11.858805819279592,door_wood_knock
10,2-60180-A-49,2,49,220500,44100,5.0,0.15138142,0.03846319424303944,2246.4678053919697,2982.9117516590954,4617.498142038863,0.0004786294,18.56438050482428,hand_saw
11,5-180156-B-43,5,43,220500,44100,5.0,0.19289859,0.05788002102668213,1986.9529478279467,2328.6168001789356,3886.4184173796402,0.00030312955,17.49627597022687,car_horn
12,5-233019-A-31,5,31,220500,44100,5.0,0.011942722,0.03842694134280743,2573.4290543108386,3440.336855883026,5419.92221487094,0.0011224299,15.237952530685225,mouse_click
13,5-223317-A-31,5,31,220500,44100,5.0,0.04161065,0.00238249528712297,1507.8172641933097,2909.858380819327,2714.232775340777,9.764444e-05,17.171505475986777,mouse_click
14,4-161105-B-47,4,47,220500,44100,5.0,0.15204322,0.03318273274361949,1170.1552404920158,1392.1484975333028,2150.87222212152,1.8604665e-05,18.357931459489034,airplane
15,3-160993-A-3,3,3,220500,44100,5.0,0.21006499,0.026555249419953596,1078.715261463491,1497.5965893412194,1703.2713710846867,4.1309206e-05,19.041600582887394,cow
16,3-135650-B-45,3,45,220500,44100,5.0,0.041429076,0.06363177022911833,3129.5645857734958,3895.2726847034205,7297.507613109049,0.0016819604,16.60105260271902,train
17,2-66205-A-23,2,23,220500,44100,5.0,0.017436387,0.028110725420533642,989.5993934209606,977.3178429198133,1977.8072206714037,0.7319547,12.640714410879651,breathing
18,1-47819-A-5,1,5,220500,44100,5.0,0.008307598,0.08065703850058005,3536.4268094517515,3713.438796233086,7842.882196200696,0.0052177543,16.43220155536158,cat
19,1-54747-A-46,1,46,220500,44100,5.0,0.15253203,0.028346369272041764,910.2191542049103,1056.7173540915273,1615.190078487529,4.25702e-06,18.939554094358858,church_bells
20,3-139958-A-37,3,37,220500,44100,5.0,0.18845598,0.19275100601798145,4628.52596357742,3978.224058570893,8145.2463384570765,0.008668255,16.532849476704133,clock_alarm
21,2-152964-A-31,2,31,220500,44100,5.0,0.009912145,0.008519431554524361,764.6282156204614,1043.5476649044585,1826.525227486949,0.7766743,10.411637741482135,mouse_click
22,1-101336-A-30,1,30,220500,44100,5.0,0.10315298,0.007761519359048724,865.607912796355,1550.7382899324346,1816.2832167198376,0.40787214,11.067234204937808,door_wood_knock
23,1-11687-A-47,1,47,220500,44100,5.0,0.21576837,0.07945842698665893,2972.1559083869593,3033.5978020198972,6181.328283606438,0.003325081,17.17747618940519,airplane
24,3-156581-B-14,3,14,220500,44100,5.0,0.064895965,0.1869199535962877,5493.602471275524,3934.111185338896,9944.043195330627,0.010732169,17.34637096451089,chirping_birds
25,1-12653-A-15,1,15,220500,44100,5.0,0.031529248,0.06022399760730859,3964.952121621629,4629.882130840064,8924.73829937645,0.007754909,16.531864104146365,water_drops
26,4-204777-A-39,4,39,220500,44100,5.0,0.40068656,0.22478044337296985,5653.499106416937,3762.311998109192,9643.12792289008,0.036821805,15.72277611306363,glass_breaking
27,5-160614-B-48,5,48,220500,44100,5.0,0.042310163,0.10747512144721577,2885.3902677026076,2509.299831403374,5231.669060868619,0.00097465114,15.81359915502419,fireworks
28,4-234644-A-2,4,2,220500,44100,5.0,0.078710355,0.048779410165313224,2000.8266531147315,2284.4329512029244,3739.133306445766,0.00037609227,17.635991962331655,pig
29,4-201988-A-44,4,44,220500,44100,5.0,0.098215826,0.01941116226798144,2358.1150519037683,3632.0881720064212,5637.202726218097,0.000353243,17.658662141611774,engine
30,2-103424-A-3,2,3,220500,44100,5.0,0.23742253,0.0116201874274942,520.9973434222801,734.1664050902576,833.4998323303364,0.68921125,13.300736595395943,cow
31,1-28005-A-18,1,18,220500,44100,5.0,0.19195071,0.09308838457076567,3278.102017551092,3552.2219564298152,5407.831646062935,0.010230578,14.036587143427973,toilet_flush
32,2-82455-A-23,2,23,220500,44100,5.0,0.061467774,0.06439534694025523,2273.530218823163,2676.8486003763346,4040.3483450551043,0.0007438278,18.352894209251787,breathing
33,5-234855-A-25,5,25,220500,44100,5.0,0.01132447,0.09995264464907193,5274.034023157943,5414.8888344604375,11961.119784113978,0.025490195,14.67591241843487,footsteps
34,2-50668-A-41,2,41,220500,44100,5.0,0.11598417,0.1206927022911833,4339.783031182856,3986.986707972154,8982.4432868692,0.0019018702,18.570869438888835,chainsaw
35,3-163607-A-13,3,13,220500,44100,5.0,0.019308573,0.021509298868909513,1558.6234184547636,2814.919031211228,3070.305022839327,0.0003225222,14.829416613043154,crickets
36,5-233312-A-28,5,28,220500,44100,5.0,0.0335057,0.027292769359048723,1703.0996259353162,2781.4067348320627,3606.9364260078305,0.00038134298,15.746517406041287,snoring
37,1-115545-A-48,1,48,220500,44100,5.0,0.008229665,0.036779700188515084,1784.5387898955587,2889.2863300537606,2974.579692937935,0.0010133375,13.400758126418186,fireworks
38,3-144510-A-30,3,30,220500,44100,5.0,0.14147921,0.005355233106148492,749.532279835015,1265.1173607396743,1610.9433910962878,0.6211741,10.955322858546902,door_wood_knock
39,4-102844-C-49,4,49,220500,44100,5.0,0.09747098,0.1445561738689095,4441.485986616846,3727.306686196825,8559.323339617169,0.0020565197,18.664716884062493,hand_saw
40,5-192191-A-19,5,19,220500,44100,5.0,0.11489887,0.01120781068735499,851.2827347222147,1867.442047722058,1237.6345888921114,0.0001431128,15.152031357928749,thunderstorm
41,4-198962-A-25,4,25,220500,44100,5.0,0.0124540925,0.020574653784802784,1701.2212978716725,3449.485723130077,3424.9284005220416,0.0008698929,13.57456154979473,footsteps
42,5-177957-D-40,5,40,220500,44100,5.0,0.29363438,0.007001341357308585,530.1698325807075,1402.5588273515023,568.5565001450116,3.4710217e-06,16.24944333656907,helicopter
43,2-102581-B-29,2,29,220500,44100,5.0,0.036318343,0.04240229843387471,1228.1889778550021,1027.3447877453782,2258.0885884933296,0.7287269,10.866735831678021,drinking_sipping
44,5-259180-A-15,5,15,220500,44100,5.0,0.036701184,0.025498250797563807,1531.677390379376,1746.9246950342588,3640.160509715777,0.6415711,14.424252224781648,water_drops
45,5-260164-A-23,5,23,220500,44100,5.0,0.20887853,0.0237286561049884,1619.262061430905,2854.158375237727,3113.7711173143853,0.0003115593,16.635287669281727,breathing
46,1-21896-A-35,1,35,220500,44100,5.0,0.14791286,0.028461925391531324,2302.7157628077766,3061.036972387696,6167.9886890951275,2.8773127e-05,19.388100065746134,washing_machine
47,2-52001-A-28,2,28,220500,44100,5.0,0.011066789,0.04508841176044084,3319.8466025055795,4380.840729576732,7763.644005582946,0.006292871,15.044720412202869,snoring
48,2-42101-A-43,2,43,220500,44100,5.0,0.15325521,0.019337523564385152,1181.0688657060155,1861.7227614269727,2192.83948575261,4.5328063e-05,17.790949233445016,car_horn
49,3-251617-A-48,3,48,220500,44100,5.0,0.042537488,0.021138839544663574,1183.3641612325869,2174.9035943421677,1913.7571826058584,0.0002582228,14.020703037542605,fireworks
50,3-142605-A-21,3,21,220500,44100,5.0,0.030625647,0.034798252610208816,4028.739006903643,4707.442816978416,10279.33165512616,0.040149756,15.45728696320286,sneezing
51,2-95567-A-23,2,23,220500,44100,5.0,0.010584534,0.06779858794953596,3304.368445994194,3920.3796626384565,7052.89841937355,0.0032364533,15.712954569608836,breathing
52,2-32515-A-4,2,4,220500,44100,5.0,0.20503335,0.08332275957076567,2398.263532252848,1938.017401179677,2997.261999709977,0.00024654757,17.647664154591848,frog
53,3-155584-A-14,3,14,220500,44100,5.0,0.02294275,0.05045950551044084,2232.9158722219604,3013.908629960076,4401.116929198086,0.0006605416,16.61948164869933,chirping_birds
54,5-214759-B-5,5,5,220500,44100,5.0,0.08545495,0.08608137869779582,2928.7828884962973,2842.6057182986897,5194.348172853828,0.009839888,17.386431269815002,cat
55,4-175945-A-38,4,38,220500,44100,5.0,0.017213186,0.058061285527842225,2206.7659077880726,2369.397110430169,4210.865334070476,0.00040299646,16.2628050683403,clock_tick
56,1-22804-A-46,1,46,220500,44100,5.0,0.22124192,0.0689280923723898,2236.645035110281,2444.275215960381,3751.0739921693735,0.00015460681,21.579340018358792,church_bells
57,3-96606-A-49,3,49,220500,44100,5.0,0.06166241,0.24098435687354988,6221.043831387237,3979.9532465531524,10727.182311303653,0.04105286,16.209328077679558,hand_saw
58,5-221593-A-21,5,21,220500,44100,5.0,0.076716244,0.015072143271461717,752.556676803302,866.9954121531086,1538.250095163863,0.77641135,18.739751804871073,sneezing
59,3-110913-D-7,3,7,220500,44100,5.0,0.06831942,0.05359084976798144,3514.316053559742,4636.953373549731,8980.394884715777,0.001951237,19.814258036895495,insects
60,4-161303-B-5,4,5,220500,44100,5.0,0.106731854,0.012425681554524361,721.2802876980221,918.2863096767833,1656.2080825841067,0.7441714,23.34945923029705,cat
61,2-73260-A-10,2,10,220500,44100,5.0,0.036693033,0.06768643053944315,4366.209199532868,5146.856993352228,11123.922835701856,0.014693278,15.084125089986363,rain
62,2-104105-B-19,2,19,220500,44100,5.0,0.12147778,0.0143527497824826,782.547699678563,1982.7916264813578,816.063433512181,5.651668e-05,16.503330089327196,thunderstorm
63,5-249748-A-28,5,28,220500,44100,5.0,0.014922105,0.04712423868909513,3178.5884150530073,4039.8450409247757,7784.227949173433,0.0019506059,15.730477026058733,snoring
64,2-117615-E-48,2,48,220500,44100,5.0,0.07276131,0.06019114341647332,2245.073603797443,2462.4232552606795,4381.931894395301,0.001481007,14.424236340775652,fireworks
65,4-108352-A-33,4,33,220500,44100,5.0,0.010969955,0.09015529836136892,3316.861366597244,3459.5883755060872,6264.413473390371,0.0015759496,17.61487105449819,door_wood_creaks
66,1-46353-A-49,1,49,220500,44100,5.0,0.039277595,0.14229489921693736,4646.271320378295,4024.946636170687,9450.278354299595,0.006459308,17.25844965635087,hand_saw
67,2-139749-A-15,2,15,220500,44100,5.0,0.0045020077,0.06836050790313225,4393.842243115691,5623.913506512811,11818.780814965197,0.012720986,14.024126874415307,water_drops
68,5-215658-A-12,5,12,220500,44100,5.0,0.04265536,0.012582022186774943,1054.024702949819,2175.562495231054,1710.116031938805,7.726418e-05,15.969874921660319,crackling_fire
69,2-128465-A-43,2,43,220500,44100,5.0,0.08720826,0.09718722810324826,2041.6974059788283,1820.0617341663967,3412.787870685905,9.473035e-05,20.071945752963853,car_horn
70,5-179860-A-43,5,43,220500,44100,5.0,0.032461233,0.024615719257540605,780.6180536029567,923.0195120218464,1301.7845490139212,0.6781601,16.633814879287886,car_horn
71,1-58846-A-34,1,34,220500,44100,5.0,0.082755655,0.06824608468677494,3555.4411455199734,3693.654266365215,7688.0030089907195,0.19926164,14.764396726924188,can_opening
72,1-17970-A-4,1,4,220500,44100,5.0,0.14826457,0.06294069931844548,1948.3025790208546,2086.480291898275,2712.6839834686775,0.00045426103,18.47341692677074,frog
73,1-15689-A-4,1,4,220500,44100,5.0,0.0861847,0.07641091756090487,5168.434669195351,4754.908979691029,10763.154251558875,0.010458349,16.57917299865175,frog
74,2-139748-A-15,2,15,220500,44100,5.0,0.009462444,0.031158234846287703,1795.0524842020302,3044.322045590669,3427.976023238109,0.00096444535,16.78611728873108,water_drops
75,2-88724-A-38,2,38,220500,44100,5.0,0.012106102,0.05655112565255221,3911.8882000193707,4543.568570392229,9193.728474840487,0.0144516025,17.150847590075774,clock_tick
76,1-64398-B-41,1,41,220500,44100,5.0,0.271822,0.03210874057424594,2337.4183960614396,3070.963321268656,5196.046847810325,0.00010332612,23.833853504297196,chainsaw
77,2-124564-A-15,2,15,220500,44100,5.0,0.026216194,0.09857163573085846,3885.9019610235086,3933.2118772258355,8058.264188478828,0.005499595,15.954296240128054,water_drops
78,4-161579-A-40,4,40,220500,44100,5.0,0.034153942,0.009527715342227377,494.32155104635285,800.3768653869763,988.2291364559164,0.596874,9.089153769684902,helicopter
79,4-125072-A-19,4,19,220500,44100,5.0,0.043825418,0.01816157011310905,793.00473498214,1560.044859029606,1145.3066089037122,8.760935e-05,15.508053402937707,thunderstorm
80,2-71162-A-1,2,1,220500,44100,5.0,0.059919644,0.1615293285962877,4100.759383240397,3765.904425606229,8178.920071418213,0.008675037,22.014826556314397,rooster
81,2-98392-A-23,2,23,220500,44100,5.0,0.023400111,0.06907423687645012,2024.701768968379,1617.7068497237165,3218.589354335847,0.45113695,14.659839622694513,breathing
82,1-45641-A-27,1,27,220500,44100,5.0,0.08873221,0.24176945874419953,6685.621595520399,4493.971534949305,12225.313700877321,0.0086082965,18.1883020355637,brushing_teeth
83,4-163606-A-16,4,16,220500,44100,5.0,0.09996908,0.011570339689675174,667.4251808001013,1674.2119845956993,634.8048234483758,1.9012494e-05,17.500996935342485,wind
84,3-159348-A-36,3,36,220500,44100,5.0,0.025114175,0.0785396425464037,2971.758792414289,3325.7531691622303,5842.792356982309,0.0028303938,16.19268265086471,vacuum_cleaner
85,4-187284-A-30,4,30,220500,44100,5.0,0.021482069,0.024812844402552204,1886.153536155281,3619.34790255439,3088.840564276392,0.0012462517,13.768361249406592,door_wood_knock
86,5-253094-A-49,5,49,220500,44100,5.0,0.13310158,0.11316682678364269,3517.0545277385063,3194.9536400835696,6361.7875172201275,0.0034486663,17.94983343188503,hand_saw
87,4-186518-A-30,4,30,220500,44100,5.0,0.072175354,0.03876567937935035,2343.9202957612547,3041.6494525192575,5511.250974296694,0.0032778115,14.507928985098413,door_wood_knock
88,4-195497-A-11,4,11,220500,44100,5.0,0.083505996,0.090815780887471,3346.0035001491606,3566.8364227578854,7378.844166908352,0.0011807769,16.979028296593015,sea_waves
89,4-135439-A-18,4,18,220500,44100,5.0,0.11565007,0.11150712369489559,4075.338391878953,3851.9033600799175,7921.0712052276685,0.006186857,17.8805668789939,toilet_flush
